time,x,y,theta_rad,theta_deg,state,theta_error_x,theta_error_y,angular_vel_x,angular_vel_y,linear_vel_x,linear_vel_y,position_error_x,position_error_y
2.5227410793304443,5.544444561004639,5.544444561004639,0.0,0.0,ROTACIONAR_X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5428738594055176,5.544444561004639,5.544444561004639,0.0,0.0,ROTACIONAR_X,3.141592653589793,0.0,12.566370614359172,0.0,0.0,0.0,0.0,0.0
2.5454154014587402,5.544444561004639,5.544444561004639,0.0,0.0,ROTACIONAR_X,3.141592653589793,0.0,12.566370614359172,0.0,0.0,0.0,0.0,0.0
2.5480709075927734,5.544444561004639,5.544444561004639,0.0,0.0,ROTACIONAR_X,3.141592653589793,0.0,12.566370614359172,0.0,0.0,0.0,0.0,0.0
2.5506162643432617,5.544444561004639,5.544444561004639,0.0,0.0,ROTACIONAR_X,3.141592653589793,0.0,12.566370614359172,0.0,0.0,0.0,0.0,0.0
2.553150177001953,5.544444561004639,5.544444561004639,0.0,0.0,ROTACIONAR_X,3.141592653589793,0.0,12.566370614359172,0.0,0.0,0.0,0.0,0.0
2.5556838512420654,5.544444561004639,5.544444561004639,0.0,0.0,ROTACIONAR_X,3.141592653589793,0.0,12.566370614359172,0.0,0.0,0.0,0.0,0.0
2.5583009719848633,5.544444561004639,5.544444561004639,0.0,0.0,ROTACIONAR_X,3.141592653589793,0.0,12.566370614359172,0.0,0.0,0.0,0.0,0.0
2.5611166954040527,5.544444561004639,5.544444561004639,0.0,0.0,ROTACIONAR_X,3.141592653589793,0.0,12.566370614359172,0.0,0.0,0.0,0.0,0.0
2.564007043838501,5.544444561004639,5.544444561004639,0.01600000075995922,0.9167325157517732,ROTACIONAR_X,3.141592653589793,0.0,12.566370614359172,0.0,0.0,0.0,0.0,0.0
2.5732784271240234,5.544444561004639,5.544444561004639,0.03200000151991844,1.8334650315035463,ROTACIONAR_X,3.125592652829834,0.0,12.502370611319336,0.0,0.0,0.0,0.0,0.0
2.5892574787139893,5.544444561004639,5.544444561004639,0.04800000041723251,2.7501974405336136,ROTACIONAR_X,3.1095926520698747,0.0,12.438370608279499,0.0,0.0,0.0,0.0,0.0
2.605278968811035,5.544444561004639,5.544444561004639,0.06400000303983688,3.6669300630070927,ROTACIONAR_X,3.0935926531725606,0.0,12.374370612690242,0.0,0.0,0.0,0.0,0.0
2.6212501525878906,5.544444561004639,5.544444561004639,0.07999999821186066,4.5836622585937485,ROTACIONAR_X,3.0775926505499562,0.0,12.310370602199825,0.0,0.0,0.0,0.0,0.0
2.637218475341797,5.544444561004639,5.544444561004639,0.09600000083446503,5.500394881067227,ROTACIONAR_X,3.0615926553779325,0.0,12.24637062151173,0.0,0.0,0.0,0.0,0.0
2.6531310081481934,5.544444561004639,5.544444561004639,0.1120000034570694,6.417127503540706,ROTACIONAR_X,3.045592652755328,0.0,12.182370611021312,0.0,0.0,0.0,0.0,0.0
2.6692211627960205,5.544444561004639,5.544444561004639,0.12800000607967377,7.333860126014185,ROTACIONAR_X,3.0295926501327237,0.0,12.118370600530895,0.0,0.0,0.0,0.0,0.0
2.6851258277893066,5.544444561004639,5.544444561004639,0.14399999380111694,8.250591894714018,ROTACIONAR_X,3.0135926475101193,0.0,12.054370590040477,0.0,0.0,0.0,0.0,0.0
2.701083183288574,5.544444561004639,5.544444561004639,0.1599999964237213,9.167324517187497,ROTACIONAR_X,2.997592659788676,0.0,11.990370639154705,0.0,0.0,0.0,0.0,0.0
2.717005968093872,5.544444561004639,5.544444561004639,0.17599999904632568,10.084057139660976,ROTACIONAR_X,2.981592657166072,0.0,11.926370628664287,0.0,0.0,0.0,0.0,0.0
2.7337849140167236,5.544444561004639,5.544444561004639,0.19200000166893005,11.000789762134454,ROTACIONAR_X,2.9655926545434674,0.0,11.86237061817387,0.0,0.0,0.0,0.0,0.0
2.749692678451538,5.544444561004639,5.544444561004639,0.20800000429153442,11.917522384607933,ROTACIONAR_X,2.949592651920863,0.0,11.798370607683452,0.0,0.0,0.0,0.0,0.0
2.7654991149902344,5.544444561004639,5.544444561004639,0.2240000069141388,12.834255007081412,ROTACIONAR_X,2.9335926492982587,0.0,11.734370597193035,0.0,0.0,0.0,0.0,0.0
2.781456708908081,5.544444561004639,5.544444561004639,0.23999999463558197,13.750986775781245,ROTACIONAR_X,2.9175926466756543,0.0,11.670370586702617,0.0,0.0,0.0,0.0,0.0
2.7974092960357666,5.544444561004639,5.544444561004639,0.25600001215934753,14.66772025202837,ROTACIONAR_X,2.901592658954211,0.0,11.606370635816845,0.0,0.0,0.0,0.0,0.0
2.8134677410125732,5.544444561004639,5.544444561004639,0.2720000147819519,15.58445287450185,ROTACIONAR_X,2.8855926414304456,0.0,11.542370565721782,0.0,0.0,0.0,0.0,0.0
2.8295955657958984,5.544444561004639,5.544444561004639,0.2879999876022339,16.501183789428037,ROTACIONAR_X,2.869592638807841,0.0,11.478370555231365,0.0,0.0,0.0,0.0,0.0
2.846170425415039,5.544444561004639,5.544444561004639,0.30399999022483826,17.417916411901516,ROTACIONAR_X,2.8535926659875592,0.0,11.414370663950237,0.0,0.0,0.0,0.0,0.0
2.8613123893737793,5.544444561004639,5.544444561004639,0.3199999928474426,18.334649034374994,ROTACIONAR_X,2.837592663364955,0.0,11.35037065345982,0.0,0.0,0.0,0.0,0.0
2.8776564598083496,5.544444561004639,5.544444561004639,0.335999995470047,19.251381656848473,ROTACIONAR_X,2.8215926607423505,0.0,11.286370642969402,0.0,0.0,0.0,0.0,0.0
