time,x,y,theta_rad,theta_deg
6.2288689613342285,5.544444561004639,5.544444561004639,-3.141380786895752,-179.98786093261205
6.24193549156189,5.544444561004639,5.544444561004639,-3.1413307189941406,-179.98499225316064
6.254158973693848,5.544444561004639,5.544444561004639,-3.1412806510925293,-179.98212357370923
6.263949632644653,5.544444561004639,5.544444561004639,-3.141230583190918,-179.97925489425785
6.268822908401489,5.544444561004639,5.544444561004639,-3.1411802768707275,-179.97637255442808
6.272978067398071,5.544444561004639,5.544444561004639,-3.141130208969116,-179.97350387497667
6.276587247848511,5.544444561004639,5.544444561004639,-3.141080141067505,-179.9706351955253
6.279773950576782,5.544444561004639,5.544444561004639,-3.1410298347473145,-179.96775285569552
6.282674789428711,5.544444561004639,5.544444561004639,-3.140979766845703,-179.96488417624414
6.285362243652344,5.544444561004639,5.544444561004639,-3.140929698944092,-179.96201549679273
6.288981914520264,5.544444561004639,5.544444561004639,-3.140929698944092,-179.96201549679273
6.291553258895874,5.528444766998291,5.544434070587158,-3.140929698944092,-179.96201549679273
6.2940993309021,5.512444496154785,5.544423580169678,-3.140929698944092,-179.96201549679273
6.296687126159668,5.4964447021484375,5.544412612915039,-3.140929698944092,-179.96201549679273
6.299237251281738,5.480444431304932,5.544402122497559,-3.140929698944092,-179.96201549679273
6.309684753417969,5.464444637298584,5.544391632080078,-3.140929698944092,-179.96201549679273
6.3255298137664795,5.448444366455078,5.544381141662598,-3.140929698944092,-179.96201549679273
6.3421947956085205,5.4324445724487305,5.544370174407959,-3.140929698944092,-179.96201549679273
6.357903242111206,5.416444778442383,5.5443596839904785,-3.140929698944092,-179.96201549679273
6.373958110809326,5.400444507598877,5.544349193572998,-3.140929698944092,-179.96201549679273
6.389571905136108,5.384444713592529,5.544338703155518,-3.140929698944092,-179.96201549679273
6.405912399291992,5.368444442749023,5.544327735900879,-3.140929698944092,-179.96201549679273
6.4218833446502686,5.352444648742676,5.544317245483398,-3.140929698944092,-179.96201549679273
6.437739610671997,5.33644437789917,5.544306755065918,-3.140929698944092,-179.96201549679273
6.453856945037842,5.320444583892822,5.5442962646484375,-3.140929698944092,-179.96201549679273
6.469888687133789,5.304444789886475,5.544285297393799,-3.140929698944092,-179.96201549679273
6.486602783203125,5.288444519042969,5.544274806976318,-3.140929698944092,-179.96201549679273
6.502046585083008,5.272444725036621,5.544264316558838,-3.140929698944092,-179.96201549679273
6.518336534500122,5.256444454193115,5.544253826141357,-3.140929698944092,-179.96201549679273
6.534452438354492,5.240444660186768,5.544242858886719,-3.140929698944092,-179.96201549679273
6.5497047901153564,5.22444486618042,5.544232368469238,-3.140929698944092,-179.96201549679273
6.56665563583374,5.208444595336914,5.544221878051758,-3.140929698944092,-179.96201549679273
6.583020448684692,5.192444801330566,5.544211387634277,-3.140929698944092,-179.96201549679273
6.5976948738098145,5.1764445304870605,5.544200420379639,-3.140929698944092,-179.96201549679273
6.613942623138428,5.160444736480713,5.544189929962158,-3.140929698944092,-179.96201549679273
6.629913330078125,5.144444465637207,5.544179439544678,-3.140929698944092,-179.96201549679273
6.6459150314331055,5.128444671630859,5.544168949127197,-3.140929698944092,-179.96201549679273
6.661961317062378,5.112444877624512,5.544157981872559,-3.140929698944092,-179.96201549679273
6.677961349487305,5.096444606781006,5.544147491455078,-3.140929698944092,-179.96201549679273
6.693954944610596,5.080444812774658,5.544137001037598,-3.140929698944092,-179.96201549679273
6.70986008644104,5.064444541931152,5.544126510620117,-3.140929698944092,-179.96201549679273
6.725839614868164,5.048444747924805,5.5441155433654785,-3.140929698944092,-179.96201549679273
6.741906642913818,5.032444477081299,5.544105052947998,-3.140929698944092,-179.96201549679273
6.757901191711426,5.016444683074951,5.544094562530518,-3.140929698944092,-179.96201549679273
6.77389121055603,5.0004448890686035,5.544084072113037,-3.140929698944092,-179.96201549679273
6.790136098861694,4.984444618225098,5.544073104858398,-3.140929698944092,-179.96201549679273
6.806316614151001,4.96844482421875,5.544062614440918,-3.140929698944092,-179.96201549679273
6.822283744812012,4.952444553375244,5.5440521240234375,-3.140929698944092,-179.96201549679273
6.838207960128784,4.9364447593688965,5.544041633605957,-3.140929698944092,-179.96201549679273
6.854737758636475,4.920444488525391,5.544030666351318,-3.140929698944092,-179.96201549679273
6.869368553161621,4.904444694519043,5.544020175933838,-3.140929698944092,-179.96201549679273
6.885871171951294,4.888444900512695,5.544009685516357,-3.140929698944092,-179.96201549679273
6.902471303939819,4.8724446296691895,5.543999195098877,-3.140929698944092,-179.96201549679273
6.9180238246917725,4.856444835662842,5.543988227844238,-3.140929698944092,-179.96201549679273
6.934529066085815,4.840444564819336,5.543977737426758,-3.140929698944092,-179.96201549679273
6.949770450592041,4.824444770812988,5.543967247009277,-3.140929698944092,-179.96201549679273
6.966099739074707,4.808444499969482,5.543956756591797,-3.140929698944092,-179.96201549679273
6.982903003692627,4.792444705963135,5.543945789337158,-3.140929698944092,-179.96201549679273
6.998438358306885,4.776444911956787,5.543935298919678,-3.140929698944092,-179.96201549679273
7.013975143432617,4.760444641113281,5.543924808502197,-3.140929698944092,-179.96201549679273
7.030371904373169,4.744444847106934,5.543914318084717,-3.140929698944092,-179.96201549679273
7.045544385910034,4.728444576263428,5.543903350830078,-3.140929698944092,-179.96201549679273
7.062190055847168,4.71244478225708,5.543892860412598,-3.140929698944092,-179.96201549679273
7.078565835952759,4.696444511413574,5.543882369995117,-3.140929698944092,-179.96201549679273
7.093778610229492,4.680444717407227,5.543871879577637,-3.140929698944092,-179.96201549679273
